listing,Van Leeuwen,Gelateria Gentile,OddFellows,Ample Hills,Emack & Bolio's,average,min,max,price per night,room type,super host status,instant book feature,host-listings count,latitude,longitude,review scores rating,accomodates,cancellation
13282385,3.8,2.8,2.9,4,3.8,3.46,2.8,4,95,Entire home/apt,n,n,1,40.69948912,-73.92621472,80,4,moderate
17806646,3.9,2.5,2.6,4.2,3.9,3.42,2.5,4.2,94,Entire home/apt,n,n,1,40.70432016,-73.92669979,100,3,moderate
690960,4.6,4,4.1,4.7,4.9,4.46,4,4.9,60,Private room,n,y,2,40.68161042,-73.90795644,97,4,moderate
13429684,3.7,2.7,2.8,3.9,3.7,3.36,2.7,3.9,35,Private room,n,n,1,40.69940932,-73.92833495,80,2,flexible
15238184,4.9,4.1,4.2,4.9,5.1,4.64,4.1,5.1,39,Private room,n,y,4,40.68829507,-73.90595902,95,1,moderate
4231144,6.1,8.3,8.5,5.6,6.7,7.04,5.6,8.5,50,Private room,n,n,1,40.60970199,-73.9848508,97,4,strict
14291120,4,3.4,3.5,4,4.3,3.84,3.4,4.3,50,Shared room,y,n,1,40.68604909,-73.91957096,98,1,flexible
10847901,6.4,8.9,9.1,6,7,7.48,6,9.1,70,Private room,y,n,1,40.60541832,-73.9993836,98,2,strict
3283409,3.8,3.3,3.4,3.8,4.1,3.68,3.3,4.1,129,Entire home/apt,n,n,1,40.68562256,-73.92375118,99,4,strict
6305027,0.7,3.2,3.3,0.7,1.3,1.84,0.7,3.3,175,Entire home/apt,n,n,1,40.684915,-73.97913055,100,3,strict
1586304,1.8,2.2,2.4,1.8,2.1,2.06,1.8,2.4,200,Entire home/apt,n,n,1,40.68734394,-73.95929793,90,4,moderate
13428771,1.9,2.6,2.8,1.9,2.2,2.28,1.9,2.8,100,Entire home/apt,n,n,1,40.68177334,-73.95798196,100,3,flexible
14696501,0.4,3.4,3.6,1.1,0.5,1.8,0.4,3.6,65,Private room,n,n,2,40.6898376,-73.9915175,100,1,moderate
409262,0.1,3.4,3.5,0.6,1,1.72,0.1,3.5,500,Entire home/apt,n,n,1,40.68599155,-73.98826386,100,5,strict
